opc_count,lpc_count,dt
1,1,2022-11-26 21:56:43.662295
1,1,2022-11-26 21:56:43.918324
1,1,2022-11-26 21:56:44.162343
1,1,2022-11-26 21:56:44.423370
1,1,2022-11-26 21:56:44.682389
1,1,2022-11-26 21:56:44.955415
1,1,2022-11-26 21:56:45.218436
1,1,2022-11-26 21:56:45.503469
1,1,2022-11-26 21:56:45.753487
1,1,2022-11-26 21:56:46.021513
1,1,2022-11-26 21:56:46.271534
1,1,2022-11-26 21:56:46.525694
1,1,2022-11-26 21:56:46.773713
1,1,2022-11-26 21:56:47.049735
1,1,2022-11-26 21:56:47.292753
1,1,2022-11-26 21:56:47.535857
1,1,2022-11-26 21:56:47.788086
1,1,2022-11-26 21:56:48.048106
1,1,2022-11-26 21:56:48.296131
1,1,2022-11-26 21:56:48.546149
1,1,2022-11-26 21:56:48.830034
1,1,2022-11-26 21:56:49.078054
1,1,2022-11-26 21:56:49.323071
1,1,2022-11-26 21:56:49.592113
1,1,2022-11-26 21:56:49.860299
1,0,2022-11-26 21:56:50.126325
1,0,2022-11-26 21:56:50.370345
1,0,2022-11-26 21:56:50.654379
1,0,2022-11-26 21:56:50.922502
1,0,2022-11-26 21:56:51.170521
1,0,2022-11-26 21:56:51.410548
1,0,2022-11-26 21:56:51.681313
1,0,2022-11-26 21:56:51.949349
1,0,2022-11-26 21:56:52.199367
1,0,2022-11-26 21:56:52.468397
1,0,2022-11-26 21:56:52.723429
1,0,2022-11-26 21:56:52.963448
1,0,2022-11-26 21:56:53.223481
1,0,2022-11-26 21:56:53.494528
1,0,2022-11-26 21:56:53.746560
1,0,2022-11-26 21:56:53.991579
1,0,2022-11-26 21:56:54.265601
1,0,2022-11-26 21:56:54.512620
1,0,2022-11-26 21:56:54.754640
1,0,2022-11-26 21:56:55.019505
1,0,2022-11-26 21:56:55.287528
1,0,2022-11-26 21:56:55.552557
1,0,2022-11-26 21:56:55.823578
1,0,2022-11-26 21:56:56.082610
1,0,2022-11-26 21:56:56.336635
1,0,2022-11-26 21:56:56.589654
1,0,2022-11-26 21:56:56.854563
1,0,2022-11-26 21:56:57.103590
1,0,2022-11-26 21:56:57.351280
1,0,2022-11-26 21:56:57.634302
1,0,2022-11-26 21:56:57.874321
1,0,2022-11-26 21:56:58.124577
1,0,2022-11-26 21:56:58.375597
1,0,2022-11-26 21:56:58.628617
1,0,2022-11-26 21:56:58.876641
1,0,2022-11-26 21:56:59.127660
1,0,2022-11-26 21:56:59.393680
1,0,2022-11-26 21:56:59.644519
2,1,2022-11-26 21:56:59.899394
2,1,2022-11-26 21:57:00.165033
2,1,2022-11-26 21:57:00.416052
2,1,2022-11-26 21:57:00.656083
2,1,2022-11-26 21:57:00.906110
2,1,2022-11-26 21:57:01.181131
2,1,2022-11-26 21:57:01.414148
2,1,2022-11-26 21:57:01.662757
2,1,2022-11-26 21:57:01.915409
2,1,2022-11-26 21:57:02.163427
2,1,2022-11-26 21:57:02.408455
2,1,2022-11-26 21:57:02.658492
2,1,2022-11-26 21:57:02.928512
2,1,2022-11-26 21:57:03.169176
2,1,2022-11-26 21:57:03.417194
2,1,2022-11-26 21:57:03.669856
2,1,2022-11-26 21:57:03.917876
2,1,2022-11-26 21:57:04.156893
2,1,2022-11-26 21:57:04.406909
2,1,2022-11-26 21:57:04.687947
2,1,2022-11-26 21:57:04.920964
2,1,2022-11-26 21:57:05.175992
2,1,2022-11-26 21:57:05.424010
2,1,2022-11-26 21:57:05.662027
2,1,2022-11-26 21:57:05.915051
2,1,2022-11-26 21:57:06.154070
2,1,2022-11-26 21:57:06.418089
2,1,2022-11-26 21:57:06.660367
2,1,2022-11-26 21:57:06.910390
2,1,2022-11-26 21:57:07.164410
2,1,2022-11-26 21:57:07.408429
2,1,2022-11-26 21:57:07.643447
2,1,2022-11-26 21:57:07.884467
2,1,2022-11-26 21:57:08.154484
2,1,2022-11-26 21:57:08.403420
2,1,2022-11-26 21:57:08.654453
2,1,2022-11-26 21:57:08.904477
2,1,2022-11-26 21:57:09.158512
2,1,2022-11-26 21:57:09.407121
2,1,2022-11-26 21:57:09.659142
2,1,2022-11-26 21:57:09.906164
2,1,2022-11-26 21:57:10.185197
2,1,2022-11-26 21:57:10.422225
2,1,2022-11-26 21:57:10.657243
2,1,2022-11-26 21:57:10.923823
2,1,2022-11-26 21:57:11.188855
2,1,2022-11-26 21:57:11.437884
2,1,2022-11-26 21:57:11.673902
2,1,2022-11-26 21:57:11.955927
2,1,2022-11-26 21:57:12.203381
2,1,2022-11-26 21:57:12.457039
2,1,2022-11-26 21:57:12.707056
2,1,2022-11-26 21:57:12.974082
2,1,2022-11-26 21:57:13.224121
